名前	作者	分野	ライセンス	URL	関連イベント	関連イベント部門	関連イベントリンク
放置自転車LOD	江上 周作, 川村 隆浩, 清 雄一, 田原 康之, 大須賀 昭彦	ユーザ生成	CC BY	http://www.ohsuga.is.uec.ac.jp/bicycle/dataset.html	LODチャレンジ2015	データセット部門	http://idea.linkdata.org/idea/idea1s1443i
大河配役LOD	秋山 梓	メディア	CC BY-SA	http://gloria.ciao.jp/Taiga/Tree/00_datalist.php	LODチャレンジ2015	データセット部門	http://idea.linkdata.org/idea/idea1s1469i
日本酒&酒蔵のデータ	飯島 照之, 川村 隆浩, 清 雄一, 田原 康之, 大須賀 昭彦	地理	CC BY	http://lodcu.cs.chubu.ac.jp/SparqlEPCU/project.jsp?projectID=sake_brewery	LODチャレンジ2015	データセット部門	http://idea.linkdata.org/idea/idea1s1445i
RouteFinder設置位置情報	佐野 一昭	地理	CC BY	http://linkdata.org/work/rdf1s3998i	LODチャレンジ2015	データセット部門	http://idea.linkdata.org/idea/idea1s1411i
NISTEP大学・公的機関名辞書LOD	渡邊 勝太郎	政府	CC BY-SA	http://idea.linkdata.org/idea/idea1s1584i	LODチャレンジ2015	データセット部門	http://idea.linkdata.org/idea/idea1s1584i
GeoNames.jp	インディゴ株式会社	地理	CC BY-SA	http://geonames.jp	LODチャレンジ2014	基盤技術部門	http://lod.sfc.keio.ac.jp/challenge2014/show_status.php?id=b008
When.exe	須賀 隆	汎用	CC BY-ND	http://hosi.org	LODチャレンジ2014	データセット部門	http://lod.sfc.keio.ac.jp/challenge2014/show_status.php?id=d070
Open Park Yokohama	加藤 文彦	政府	CC BY-SA	http://yokohama.openpark.jp	LODチャレンジ2014	データセット部門	http://lod.sfc.keio.ac.jp/challenge2014/show_status.php?id=d078
動物園LOD	加藤 敦丈	出版・文化	CC BY-SA	http://lodcu.cs.chubu.ac.jp/SparqlEPCU/project.jsp?projectID=zoo	LODチャレンジ2014	データセット部門	http://lod.sfc.keio.ac.jp/challenge2014/show_status.php?id=d018
GeoLOD	GeoNLP開発チーム	地理	-	http://geolod.ex.nii.ac.jp/	LODチャレンジ2013 	基盤技術部門	http://lod.sfc.keio.ac.jp/challenge2013/show_status.php?id=b011
東日本大震災アーカイブFukushima	東日本大震災アーカイブ福島協議会	政府	-	http://fukushima.archive-disasters.jp	LODチャレンジ2013	データセット部門	http://lod.sfc.keio.ac.jp/challenge2013/show_status.php?id=d016
議員LOD	落合 香織, 萩原 和樹, 本間 維	政府	CC BY-SA	http://mdlab.slis.tsukuba.ac.jp/lodc2013/senkyo/	LODチャレンジ2013	データセット部門	http://lod.sfc.keio.ac.jp/challenge2013/show_status.php?id=d091
NHK映像マップみちしるLOD	萩原 和樹	メディア	-	http://mdlab.slis.tsukuba.ac.jp/lodc2013/michishiru/	LODチャレンジ2013	データセット部門	http://lod.sfc.keio.ac.jp/challenge2013/show_status.php?id=d066
ねじLOD	江上周作, 清水宏泰, 藤井章博	産業	CC BY-SA	http://monodzukurilod.org/neji/	LODチャレンジ2013	データセット部門	http://lod.sfc.keio.ac.jp/challenge2013/show_status.php?id=d028
京都国際マンガミュージアム書誌情報LOD	カ ブンリン	出版・文化	CC BY-NC-SA	http://mdlab.slis.tsukuba.ac.jp/lodc2012/kmm/	LODチャレンジ2012	データセット部門	http://lod.sfc.keio.ac.jp/challenge2012/show_status.php?id=d063
Open DATA METI LOD	経済産業省	政府	-	http://datameti.go.jp/scheme	LODチャレンジ2012	データセット部門	http://lod.sfc.keio.ac.jp/challenge2012/show_status.php?id=d078
青空文庫 Linked Open Data	落合 香織	出版・文化	CC BY-SA	http://mdlab.slis.tsukuba.ac.jp/lodc2012/aozoralod/	LODチャレンジ2012	データセット部門	http://lod.sfc.keio.ac.jp/challenge2012/show_status.php?id=d035
LSJ: Location Site of Japanimation	ほえほえ	地理	CC BY	http://cheese-factory.info/	LODチャレンジ2011	データセット部門	http://lod.sfc.keio.ac.jp/challenge2012/show_status.php?id=d020
日本語Wikipediaオントロジー	慶應義塾大学山口研究室	汎用	CC BY-SA	http://www.wikipediaontology.org	LODチャレンジ2011	データセット部門	http://lod.sfc.keio.ac.jp/challenge2011/show_status.php?id=d016
LODAC Species	LODAC	ライフサイエンス	一部 CC BY-SA	http://lod.ac/species/	LODチャレンジ2011	データセット部門	http://lod.sfc.keio.ac.jp/challenge2011/show_status.php?id=d019
ヨコハマ・アート・LOD	横浜市芸術文化振興財団	出版・文化	CC BY	http://fp.yafjp.org/yokohama_art_lod	LODチャレンジ2011	データセット部門	http://lod.sfc.keio.ac.jp/challenge2011/show_status.php?id=d009
J-GLOBAL knowledge	科学技術振興機構	出版・文化	CC BY	https://stirdf.jglobal.jst.go.jp/			
LODAC Museum	LODAC	出版・文化	-	http://lod.ac			
ライフサイエンス辞書	ライフサイエンス辞書プロジェクト	ライフサイエンス	CC BY-ND	http://lsd.dbcls.jp			
WordNet-ja	小出 誠二	汎用	-	http://wordnet.jp			
環境リポジトリプロトタイプシステム	総合地球環境学研究所	ライフサイエンス	-	http://rihnexers.chikyu.ac.jp			
Evacva	富士通研究所	政府	-	http://evacva.net			
